condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,3.701000000000e-07,3.701000e-01,1.184686821513e-05,11.846868,16.163773,0.012764442,601.840078,2.076842e+05,207.684,38.153132
T=255K,3.801000000000e-07,3.801000e-01,1.200667606920e-05,12.006676,15.980785,0.013301501,601.513582,2.076842e+05,207.684,37.993324
T=255K,3.901000000000e-07,3.901000e-01,1.216469795327e-05,12.164698,15.802188,0.013847085,601.181904,2.076842e+05,207.684,37.835302
T=255K,4.001000000000e-07,4.001000e-01,1.232097716056e-05,12.320977,15.627921,0.014401044,600.845134,2.076842e+05,207.684,37.679023
T=255K,4.101000000000e-07,4.101000e-01,1.247555623050e-05,12.475556,15.457907,0.014963233,600.503361,2.076842e+05,207.684,37.524444
T=255K,4.201000000000e-07,4.201000e-01,1.262847684160e-05,12.628477,15.292061,0.015533515,600.156668,2.076842e+05,207.684,37.371523
T=255K,4.301000000000e-07,4.301000e-01,1.277977973311e-05,12.779780,15.130289,0.016111757,599.805136,2.076842e+05,207.684,37.220220
T=255K,4.401000000000e-07,4.401000e-01,1.292950464983e-05,12.929505,14.972492,0.016697832,599.448842,2.076842e+05,207.684,37.070495
T=255K,4.501000000000e-07,4.501000e-01,1.307769030547e-05,13.077690,14.818566,0.017291619,599.087860,2.076842e+05,207.684,36.922310
T=255K,4.601000000000e-07,4.601000e-01,1.322437436097e-05,13.224374,14.668406,0.017892999,598.722261,2.076842e+05,207.684,36.775626
T=255K,4.701000000000e-07,4.701000e-01,1.336959341472e-05,13.369593,14.521905,0.018501860,598.352114,2.076842e+05,207.684,36.630407
T=255K,4.801000000000e-07,4.801000e-01,1.351338300213e-05,13.513383,14.378959,0.019118094,597.977486,2.076842e+05,207.684,36.486617
T=255K,4.901000000000e-07,4.901000e-01,1.365577760285e-05,13.655778,14.239460,0.019741595,597.598439,2.076842e+05,207.684,36.344222
T=255K,5.001000000000e-07,5.001000e-01,1.379681065367e-05,13.796811,14.103305,0.020372264,597.215035,2.076842e+05,207.684,36.203189
T=255K,5.101000000000e-07,5.101000e-01,1.393651456602e-05,13.936515,13.970391,0.021010002,596.827333,2.076842e+05,207.684,36.063485
T=255K,5.201000000000e-07,5.201000e-01,1.407492074691e-05,14.074921,13.840618,0.021654717,596.435390,2.076842e+05,207.684,35.925079
